epoch,train_loss,lr
1,22.944053395589194,0.0009996149036022412
2,21.486933835347493,0.0009984602081996976
3,19.082471974690755,0.0009965376942489858
4,15.940608723958333,0.0009938503261272714
5,12.75966313680013,0.0009904022475614137
6,9.65614652633667,0.0009861987752386395
7,6.66087908744812,0.000981246390608597
8,4.422167825698852,0.0009755527298894296
9,2.936089372634888,0.0009691265722932812
10,2.0697397947311402,0.0009619778264893879
11,1.5227286438147227,0.0009541175153256283
12,1.2883106648921967,0.0009455577588320899
13,1.0486038247744243,0.0009363117555328624
14,0.9464512517054876,0.0009263937620948693
15,0.753061032295227,0.0009158190713451217
16,0.7870426257451375,0.0009046039886902866
17,0.7255894869565964,0.0008927658069749323
18,0.7205272222558657,0.0008803227798172158
19,0.5724541912476222,0.0008672940934631253
20,0.5925026799241702,0.0008536998372026807
21,0.5955246306955815,0.0008395609723937048
22,0.551520644997557,0.0008248993001409271
23,0.54547199010849,0.0008097374276802623
24,0.5196844051281612,0.0007940987335200906
25,0.44985560898979504,0.0007780073313932917
26,0.44256283938884733,0.0007614880330756167
27,0.40158170759677886,0.0007445663101277294
28,0.323395440975825,0.0007272682546199039
29,0.2916876571252942,0.0007096205388999457
30,0.2588848098491629,0.0006916503744663627
31,0.3505575199301044,0.000673385470010208
32,0.34150795911749204,0.0006548539886902866
33,0.3456909123187264,0.0006360845047076049
34,0.28570656223843494,0.0006171059592460251
35,0.2854364448537429,0.0005979476158470564
36,0.25501129558930796,0.0005786390152875957
37,0.3438521673902869,0.0005592099300301903
38,0.2733983714133501,0.000539690318316059
39,0.21967424551645914,0.0005201102779716552
40,0.2031304405381282,0.0005005000000000004
41,0.23945363685488702,0.00048088972202834577
42,0.20675751799717546,0.0004613096816839419
43,0.19243288561701774,0.00044179006996981055
44,0.19494190181915957,0.0004223609847124052
45,0.1971755873877555,0.00040305238415294436
46,0.17538265173013012,0.0003838940407539757
47,0.17597613303611676,0.0003649154952923957
48,0.18881406102639933,0.00034614601130971415
49,0.15426946346027157,0.0003276145299897927
50,0.13470260851706067,0.000309349625533638
51,0.19971465474615493,0.00029137946110005514
52,0.16319589571406443,0.0002737317453800967
53,0.14321250549207132,0.00025643368987227126
54,0.15642770202830433,0.00023951196692438385
55,0.14212998067960142,0.0002229926686067089
56,0.11007694605117042,0.00020690126647990995
57,0.1405859967848907,0.00019126257231973827
58,0.12224448577811321,0.00017610069985907352
59,0.11161623685620725,0.00016143902760629587
60,0.1524079829066371,0.0001473001627973197
61,0.1376715315738693,0.00013370590653687516
62,0.1346119717772429,0.00012067722018278468
63,0.10963414347109696,0.00010823419302506797
64,0.11696881879276286,9.639601130971391e-05
65,0.13180226281595728,8.518092865487886e-05
66,0.10021275469722847,7.460623790513103e-05
67,0.08794487714767456,6.468824446713798e-05
68,0.10453212012847264,5.544224116791034e-05
69,0.11218787773977965,4.68824846743719e-05
70,0.08873877177635829,3.9022173510612304e-05
71,0.14395244975263874,3.187342770671919e-05
72,0.09473748996388168,2.544727011057083e-05
73,0.09177538747899235,1.9753609391403257e-05
74,0.1022685223724693,1.4801224761360573e-05
75,0.09803118284326047,1.0597752438586409e-05
76,0.12412056128184,7.149673872728744e-06
77,0.09321654015220701,4.46230575101432e-06
