epoch,loss
1,5.218377151796894
2,3.4692767512413765
3,2.4545151956619753
4,1.7411952980103031
5,1.1589852725305865
6,0.7455862683634604
7,0.4703653089461788
8,0.29298235860563093
9,0.1775219738483429
10,0.10332167220692481
11,0.05632119145124189
12,0.027933523779915224
13,0.012339216897324208
14,0.004763670513526567
15,0.0016077463946966154
16,0.0004961961136770344
17,0.0001565861593623976
18,5.9688932989017975e-05
19,3.03975555711546e-05
20,2.0072017333962235e-05
21,1.5271517411512774e-05
22,1.249017388486649e-05
23,1.0572520266343358e-05
24,9.12533053656995e-06
25,8.051225743275286e-06
