epoch,train_loss,lr
1,4.14453125,0.0009997535269026829
2,4.14453125,0.0009990143508499217
3,4.14453125,0.0009977832013192385
4,4.14453125,0.0009960612933065818
5,4.14453125,0.0009938503261272714
6,4.14453125,0.00099115248173898
7,4.14453125,0.0009879704225884043
8,4.14453125,0.0009843072889837512
9,4.14453125,0.000980166695995633
10,4.14453125,0.0009755527298894294
11,4.14453125,0.0009704699440926358
